Date,Open,High,Low,Close,Adj Close,Volume
2009-03-18,1179200.000000,1192640.000000,832000.000000,843200.000000,826658.000000,1762
2009-03-19,769600.000000,991040.000000,764160.000000,972800.000000,953715.500000,1896
2009-03-20,992000.000000,1135040.000000,984960.000000,1120000.000000,1098027.875000,1493
2009-03-23,862080.000000,945280.000000,609600.000000,614400.000000,602346.687500,2143
2009-03-24,662400.000000,688320.000000,584000.000000,676800.000000,663522.562500,2307
2009-03-25,637440.000000,755200.000000,578240.000000,622720.000000,610503.437500,3339
2009-03-26,598400.000000,659200.000000,584000.000000,596480.000000,584778.250000,2769
2009-03-27,638400.000000,644160.000000,595200.000000,638400.000000,625875.875000,2232
2009-03-30,738880.000000,800000.000000,715840.000000,788480.000000,773011.500000,2106
2009-03-31,731840.000000,764160.000000,633600.000000,662080.000000,649091.250000,2301
2009-04-01,716800.000000,719680.000000,609920.000000,623680.000000,611444.562500,2747
2009-04-02,535360.000000,588480.000000,531200.000000,567040.000000,555915.750000,3422
2009-04-03,584960.000000,587200.000000,497280.000000,499200.000000,489406.656250,2680
2009-04-06,539840.000000,551680.000000,513600.000000,528000.000000,517641.656250,2427
2009-04-07,567360.000000,577600.000000,540160.000000,577600.000000,566268.625000,2127
2009-04-08,557120.000000,600320.000000,544000.000000,570880.000000,559680.500000,2072
2009-04-09,458560.000000,462400.000000,332480.000000,335680.000000,329094.593750,4894
2009-04-13,353600.000000,360640.000000,285440.000000,296320.000000,290506.750000,5516
2009-04-14,307200.000000,356160.000000,296960.000000,352320.000000,345408.125000,6461
2009-04-15,371840.000000,380480.000000,298560.000000,304640.000000,298663.531250,5490
2009-04-16,293120.000000,325760.000000,281920.000000,298240.000000,292389.125000,5350
2009-04-17,302720.000000,313920.000000,272000.000000,284800.000000,279212.781250,7247
2009-04-20,318400.000000,374720.000000,317440.000000,372160.000000,364858.937500,7372
2009-04-21,423360.000000,424320.000000,292160.000000,292800.000000,287055.812500,10973
2009-04-22,322240.000000,323200.000000,274560.000000,317120.000000,310898.718750,10056
2009-04-23,303680.000000,324160.000000,280640.000000,285120.000000,279526.531250,8469
2009-04-24,281600.000000,293120.000000,250560.000000,264960.000000,259762.000000,10813
2009-04-27,284160.000000,291200.000000,265920.000000,284800.000000,279212.781250,7216
2009-04-28,303680.000000,307840.000000,280640.000000,296640.000000,290820.437500,7142
2009-04-29,286080.000000,287040.000000,255680.000000,262400.000000,257252.203125,7436
2009-04-30,249920.000000,266880.000000,242560.000000,265920.000000,260703.156250,8331
2009-05-01,269120.000000,281280.000000,259840.000000,275520.000000,270114.875000,6355
2009-05-04,267200.000000,267520.000000,200960.000000,201600.000000,197645.015625,10199
2009-05-05,211520.000000,214400.000000,200000.000000,209280.000000,205174.328125,7878
2009-05-06,195520.000000,197760.000000,164160.000000,167680.000000,164390.453125,14879
2009-05-07,148800.000000,188160.000000,147520.000000,181440.000000,177880.484375,16580
2009-05-08,169280.000000,177280.000000,141760.000000,143680.000000,140861.281250,13334
2009-05-11,156800.000000,165120.000000,149760.000000,164160.000000,160939.484375,9937
2009-05-12,158400.000000,186880.000000,157440.000000,173440.000000,170037.421875,14474
2009-05-13,185280.000000,200960.000000,183040.000000,197440.000000,193566.609375,12322
2009-05-14,202240.000000,203200.000000,175360.000000,179200.000000,175684.437500,10567
2009-05-15,180480.000000,193920.000000,175040.000000,188800.000000,185096.093750,8480
2009-05-18,177280.000000,178880.000000,151680.000000,154240.000000,151214.109375,8044
2009-05-19,154560.000000,163840.000000,147840.000000,162240.000000,159057.156250,9585
2009-05-20,152320.000000,176640.000000,149760.000000,173120.000000,169723.703125,11061
2009-05-21,181760.000000,182400.000000,168320.000000,173120.000000,169723.703125,11082
2009-05-22,170240.000000,178560.000000,168640.000000,177920.000000,174429.531250,5783
2009-05-26,183040.000000,183360.000000,157440.000000,158720.000000,155606.234375,8973
2009-05-27,156480.000000,173440.000000,154240.000000,172800.000000,169410.000000,9339
2009-05-28,168000.000000,176640.000000,158080.000000,159040.000000,155919.937500,9865
2009-05-29,157760.000000,163200.000000,150080.000000,150400.000000,147449.437500,8202
2009-06-01,145920.000000,149440.000000,137600.000000,143680.000000,140861.281250,9702
2009-06-02,147200.000000,152640.000000,145920.000000,149120.000000,146194.562500,7658
2009-06-03,153280.000000,159040.000000,150080.000000,154560.000000,151527.828125,6026
2009-06-04,151680.000000,152640.000000,140160.000000,141120.000000,138351.484375,6327
2009-06-05,135040.000000,145920.000000,133760.000000,143040.000000,140233.828125,7811
2009-06-08,146560.000000,147840.000000,136960.000000,140800.000000,138037.765625,5760
2009-06-09,139200.000000,142400.000000,137280.000000,138880.000000,136155.437500,4362
2009-06-10,136320.000000,147840.000000,136000.000000,143680.000000,140861.281250,6446
2009-06-11,143040.000000,143680.000000,136000.000000,141120.000000,138351.484375,5610
2009-06-12,141120.000000,143360.000000,138880.000000,139200.000000,136469.171875,3262
2009-06-15,143040.000000,150720.000000,142400.000000,149760.000000,146821.984375,4188
2009-06-16,148480.000000,158080.000000,147520.000000,157120.000000,154037.593750,5922
2009-06-17,158720.000000,171840.000000,157440.000000,167360.000000,164076.734375,9257
2009-06-18,166720.000000,167680.000000,156800.000000,158080.000000,154978.781250,6312
2009-06-19,154240.000000,158720.000000,149120.000000,150720.000000,147763.156250,5567
2009-06-22,156800.000000,174400.000000,153920.000000,174080.000000,170664.890625,7437
2009-06-23,170880.000000,176000.000000,164800.000000,167680.000000,164390.453125,8184
2009-06-24,162560.000000,167360.000000,156800.000000,162880.000000,159684.625000,6579
2009-06-25,166080.000000,168000.000000,154240.000000,154240.000000,151214.109375,6473
2009-06-26,155840.000000,157440.000000,148800.000000,151360.000000,148390.609375,4318
2009-06-29,150080.000000,154560.000000,144960.000000,146240.000000,143371.031250,4850
2009-06-30,145600.000000,152320.000000,144640.000000,149120.000000,146194.562500,4438
2009-07-01,148160.000000,151040.000000,145920.000000,150720.000000,147763.156250,3255
2009-07-02,155520.000000,164480.000000,155200.000000,164160.000000,160939.484375,4606
2009-07-06,168960.000000,172800.000000,162880.000000,163840.000000,160625.781250,5814
2009-07-07,163840.000000,172800.000000,163200.000000,172480.000000,169096.281250,5186
2009-07-08,170560.000000,191040.000000,169920.000000,180480.000000,176939.328125,876
2009-07-09,172896.000000,178080.000000,169056.000000,173920.000000,170508.031250,14921
2009-07-10,178272.000000,182528.000000,176320.000000,180320.000000,176782.468750,11767
2009-07-13,170944.000000,173280.000000,148960.000000,149536.000000,146602.390625,17296
2009-07-14,147840.000000,155424.000000,147840.000000,149888.000000,146947.500000,11524
2009-07-15,144960.000000,145024.000000,128640.000000,133120.000000,130508.437500,16322
2009-07-16,136288.000000,139168.000000,129696.000000,132512.000000,129912.375000,14154
2009-07-17,132800.000000,137792.000000,131520.000000,135360.000000,132704.500000,12523
2009-07-20,132960.000000,134080.000000,130144.000000,131232.000000,128657.476563,10465
2009-07-21,131264.000000,137984.000000,130112.000000,133888.000000,131261.375000,13316
2009-07-22,140288.000000,141120.000000,130976.000000,133920.000000,131292.750000,13929
2009-07-23,133888.000000,135520.000000,121408.000000,123616.000000,121190.898438,15839
2009-07-24,126400.000000,128512.000000,122784.000000,123872.000000,121441.867188,11170
2009-07-27,123776.000000,125024.000000,118432.000000,118592.000000,116265.453125,10770
2009-07-28,121600.000000,122400.000000,118560.000000,119552.000000,117206.617188,11135
2009-07-29,121920.000000,122368.000000,118656.000000,120192.000000,117834.062500,9884
2009-07-30,116448.000000,116544.000000,108192.000000,111936.000000,109740.031250,15050
2009-07-31,112320.000000,113600.000000,109120.000000,109856.000000,107700.835938,10816
2009-08-03,103520.000000,105408.000000,101120.000000,101312.000000,99324.453125,12709
2009-08-04,102592.000000,103424.000000,93952.000000,95168.000000,93300.992188,16424
2009-08-05,93792.000000,95168.000000,85184.000000,86528.000000,84830.492188,20808
2009-08-06,82016.000000,89856.000000,81440.000000,87904.000000,86179.484375,24725
2009-08-07,84352.000000,85664.000000,77024.000000,80896.000000,79308.960938,27545
2009-08-10,81056.000000,84768.000000,79648.000000,82432.000000,80814.843750,17305
2009-08-11,84128.000000,90752.000000,83520.000000,90272.000000,88501.046875,22084
2009-08-12,91456.000000,91712.000000,83520.000000,85536.000000,83857.945313,24841
2009-08-13,82144.000000,86176.000000,80864.000000,80960.000000,79371.726563,22859
2009-08-14,81280.000000,85824.000000,81120.000000,82336.000000,80720.742188,17750
2009-08-17,89280.000000,92384.000000,88928.000000,91680.000000,89881.406250,17762
2009-08-18,89632.000000,90208.000000,86272.000000,87232.000000,85520.679688,15700
2009-08-19,91200.000000,91584.000000,86048.000000,87264.000000,85552.046875,18170
2009-08-20,86688.000000,86880.000000,81088.000000,81216.000000,79622.703125,17770
2009-08-21,78656.000000,79680.000000,75232.000000,76160.000000,74665.882813,18871
2009-08-24,73376.000000,78560.000000,72128.000000,78016.000000,76485.476563,27512
2009-08-25,76320.000000,76448.000000,73376.000000,75520.000000,74038.445313,26353
2009-08-26,76320.000000,78080.000000,74432.000000,75648.000000,74163.929688,26614
2009-08-27,76000.000000,78272.000000,73184.000000,73696.000000,72250.234375,23332
2009-08-28,71776.000000,75616.000000,71264.000000,73184.000000,71748.281250,23902
2009-08-31,76928.000000,77088.000000,73888.000000,74144.000000,72689.437500,20048
2009-09-01,75200.000000,85024.000000,73120.000000,84448.000000,82791.289063,34041
2009-09-02,86880.000000,87872.000000,83520.000000,87264.000000,85552.046875,24334
2009-09-03,84512.000000,86336.000000,81376.000000,81472.000000,79873.671875,20041
2009-09-04,80832.000000,83136.000000,79616.000000,79840.000000,78273.687500,18809
2009-09-08,76800.000000,79776.000000,76384.000000,77984.000000,76454.101563,20209
2009-09-09,78048.000000,78624.000000,74272.000000,74880.000000,73410.992188,22367
2009-09-10,75584.000000,78112.000000,72800.000000,73024.000000,71591.406250,22459
2009-09-11,72672.000000,74528.000000,72320.000000,74144.000000,72689.437500,19538
2009-09-14,76576.000000,76896.000000,70944.000000,71392.000000,69991.421875,21576
2009-09-15,71136.000000,73088.000000,68800.000000,70464.000000,69081.640625,25779
2009-09-16,69600.000000,70016.000000,63776.000000,63936.000000,62681.707031,30528
2009-09-17,63808.000000,65728.000000,61728.000000,64576.000000,63309.144531,33781
2009-09-18,63744.000000,65728.000000,63264.000000,64640.000000,63371.886719,21331
2009-09-21,66144.000000,66976.000000,65344.000000,66208.000000,64909.128906,20241
2009-09-22,63936.000000,64800.000000,61984.000000,62144.000000,60924.855469,21795
2009-09-23,61920.000000,65760.000000,61056.000000,65600.000000,64313.050781,25548
2009-09-24,64480.000000,70464.000000,64160.000000,69248.000000,67889.476563,36502
2009-09-25,70816.000000,72736.000000,69120.000000,71200.000000,69803.195313,25156
2009-09-28,70144.000000,70496.000000,64320.000000,64448.000000,63183.652344,19957
2009-09-29,63744.000000,65664.000000,62464.000000,65344.000000,64062.078125,22501
2009-09-30,64320.000000,68448.000000,63776.000000,66528.000000,65222.843750,31149
2009-10-01,67456.000000,74496.000000,66976.000000,74336.000000,72877.664063,29507
2009-10-02,78272.000000,78816.000000,72000.000000,74688.000000,73222.757813,32921
2009-10-05,72160.000000,72736.000000,67872.000000,68160.000000,66822.828125,19572
2009-10-06,65920.000000,68576.000000,63776.000000,65824.000000,64532.667969,31844
2009-10-07,66784.000000,67136.000000,63936.000000,64064.000000,62807.183594,22481
2009-10-08,62304.000000,63872.000000,61344.000000,63296.000000,62054.253906,24464
2009-10-09,63776.000000,64192.000000,61600.000000,61760.000000,60548.386719,16759
2009-10-12,60576.000000,61728.000000,60160.000000,60288.000000,59105.261719,17141
2009-10-13,61600.000000,63424.000000,60928.000000,61920.000000,60705.250000,21416
2009-10-14,58368.000000,59456.000000,55776.000000,56096.000000,54995.503906,28712
2009-10-15,57504.000000,58720.000000,57152.000000,57216.000000,56093.531250,23356
2009-10-16,60224.000000,61408.000000,59840.000000,61024.000000,59826.828125,24441
2009-10-19,60288.000000,61856.000000,59296.000000,60128.000000,58948.398438,20310
2009-10-20,60256.000000,61888.000000,59648.000000,61408.000000,60203.289063,20098
2009-10-21,62208.000000,64832.000000,59200.000000,64576.000000,63309.144531,31695
2009-10-22,64000.000000,64800.000000,59296.000000,59552.000000,58383.703125,31139
2009-10-23,59104.000000,62976.000000,58784.000000,61984.000000,60767.992188,27746
2009-10-26,61920.000000,67168.000000,61408.000000,66176.000000,64877.757813,31329
2009-10-27,66208.000000,68704.000000,65344.000000,67488.000000,66164.007813,29821
2009-10-28,68256.000000,73888.000000,67552.000000,73376.000000,71936.500000,30870
2009-10-29,69824.000000,71232.000000,64992.000000,65248.000000,63967.960938,28975
2009-10-30,66816.000000,74400.000000,66592.000000,73408.000000,71967.875000,43483
2009-11-02,71520.000000,77344.000000,68416.000000,71904.000000,70493.382813,49307
2009-11-03,74752.000000,75168.000000,70368.000000,70912.000000,69520.843750,34264
2009-11-04,68224.000000,73792.000000,67392.000000,73568.000000,72124.742188,36949
2009-11-05,72000.000000,73216.000000,68128.000000,68160.000000,66822.828125,31500
2009-11-06,71552.000000,71616.000000,68256.000000,68832.000000,67481.648438,28602
2009-11-09,66368.000000,67264.000000,61760.000000,61984.000000,60767.992188,25784
2009-11-10,62528.000000,64000.000000,61280.000000,62368.000000,61144.453125,25640
2009-11-11,60800.000000,61344.000000,58336.000000,60128.000000,58948.398438,31505
2009-11-12,60640.000000,63584.000000,59456.000000,63104.000000,61866.019531,31259
2009-11-13,63008.000000,64832.000000,62272.000000,63296.000000,62054.253906,24475
2009-11-16,61184.000000,62272.000000,59232.000000,61184.000000,59983.691406,28629
2009-11-17,61856.000000,62336.000000,60768.000000,61024.000000,59826.828125,23254
2009-11-18,60992.000000,61376.000000,59616.000000,59808.000000,58634.683594,20746
2009-11-19,60864.000000,63616.000000,60832.000000,62848.000000,61615.042969,28265
2009-11-20,64480.000000,64672.000000,63200.000000,63968.000000,62713.070313,19370
2009-11-23,61856.000000,62368.000000,60320.000000,61472.000000,60266.039063,19215
2009-11-24,61952.000000,63680.000000,61504.000000,62560.000000,61332.695313,22783
2009-11-25,61536.000000,63200.000000,61504.000000,62880.000000,61646.417969,11787
2009-11-27,68160.000000,68512.000000,64960.000000,67968.000000,66634.593750,19867
2009-11-30,66752.000000,67072.000000,62336.000000,62688.000000,61458.179688,24861
